게임명,1Q2017,2Q2017,3Q2017,4Q2017,1Q2018,2Q2018,3Q2018,4Q2018,1Q2019,2Q2019,3Q2019,4Q2019,1Q2020,2Q2020,3Q2020,4Q2020,1Q2021,2Q2021,3Q2021
B&S레볼루션M,0.0,0.0,0,0,0,0.0,0.0,29226000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0
M,190760333333.33334,177715333333.33334,464281000000,409331000000,346445000000,211892333333.33334,234429666666.66666,207125666666.66666,323924000000,340270666666.6667,312343333333.3333,439120000000,495700333333.3333,530363333333.3333,966457333333.3334,783197000000,649392000000,544322666666.6667,566390000000
PC,802804000000.0,631748000000.0,815612500000,647486000000,650400000000,609300000000.0,968837500000.0,636627000000.0,860700000000,711150000000.0,980700000000.0,804250000000,1479850000000.0,1137050000000.0,1332400000000.0,1185350000000,1686850000000,1060550000000.0,1451500000000
길드워2,14226000000.0,13557000000.0,20145000000,34903000000,23647000000,19860000000.0,20957000000.0,15699000000.0,16337000000,15882000000.0,15138000000.0,11331000000,12530000000.0,15639000000.0,18818000000.0,14166000000,16329000000,16004000000.0,19199000000
리니지,51464000000.0,33813000000.0,35369000000,33775000000,28268000000,42089000000.0,40303000000.0,39045000000.0,20719000000,50109000000.0,51829000000.0,51413000000,44753000000.0,34264000000.0,49868000000.0,46782000000,48936000000,36439000000.0,29147000000
리니지2,18399000000.0,16663000000.0,15634000000,15095000000,14233000000,13340000000.0,15635000000.0,20678000000.0,21558000000,21213000000.0,23033000000.0,27785000000,26443000000.0,25764000000.0,26332000000.0,25957000000,26209000000,24170000000.0,25015000000
리니지2M,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,341149000000.0,197269000000.0,144453000000.0,166734000000,152247000000,217989000000.0,157857000000
리니지M,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,212011000000.0,159876000000.0,245180000000.0,211680000000,172637000000,134154000000.0,150349000000
리지니2레볼루션M,0.0,199837000000.0,261765000000,240162000000,177590000000,140224000000.0,120980000000.0,102291000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0
마블챔피언M,0.0,70213000000.0,69804000000,86212000000,81184000000,75120000000.0,73640000000.0,87678000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0
마블퓨처파이트M,0.0,0.0,0,30790000000,25370000000,45072000000.0,36820000000.0,29226000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0
모두의마블M,0.0,32406000000.0,34902000000,30790000000,30444000000,0.0,21040000000.0,19484000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0
블레이드앤소울,44560000000.0,39010000000.0,38046000000,39507000000,33894000000,30647000000.0,30098000000.0,24993000000.0,23267000000,21107000000.0,21486000000.0,17998000000,19617000000.0,19798000000.0,17218000000.0,15611000000,14098000000,9834000000.0,10357000000
블레이드앤소울M,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,22887000000
세븐나이츠M,0.0,48609000000.0,34902000000,30790000000,30444000000,25040000000.0,21040000000.0,19484000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0
아이온,13294000000.0,10827000000.0,10157000000,12691000000,18761000000,15618000000.0,16367000000.0,12667000000.0,12323000000,12391000000.0,13224000000.0,8064000000,10143000000.0,8194000000.0,8453000000.0,18810000000,23386000000,19521000000.0,17879000000
쿠키잼M,0.0,32406000000.0,34902000000,36948000000,35518000000,35056000000.0,31560000000.0,34097000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0
테라M,0.0,0.0,0,30790000000,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0
해리포터M,0.0,0.0,0,0,0,0.0,52600000000.0,34097000000.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0
