기업명,1Q2017,2Q2017,3Q2017,4Q2017,1Q2018,2Q2018,3Q2018,4Q2018,1Q2019,2Q2019,3Q2019,4Q2019,1Q2020,2Q2020,3Q2020,4Q2020,1Q2021,2Q2021,3Q2021
넥슨,747920000000.0,470640000000.0,603980000000.0,526750000000.0,905140000000.0,477940000000.0,693320000000.0,460810000000.0,930770000000.0,538650000000.0,523570000000.0,492430000000.0,827620000000.0,644660000000.0,794120000000.0,663840000000.0,883130000000.0,560090000000.0,758900000000.0
엔씨소프트,193604437699.0,210042633842.0,676510404885.0,466478548013.0,428353232636.0,387195995505.0,350424313387.0,363939901551.0,320780646708.0,361589304567.0,346767144643.0,496730551069.0,694135537552.0,493338134342.0,536230859456.0,518726405210.0,472809838972.0,494934150122.0,452345153241.0
넷마블,536364269561.0,350467097158.0,385788455475.0,396156836177.0,311222345984.0,290365485044.0,296417200260.0,261860481484.0,270413626323.0,302855803868.0,380856429363.0,297710370485.0,289380300184.0,399354780959.0,346015025304.0,343679368939.0,326423842260.0,332480334884.0,358598844725.0
카카오게임즈,163240249674.0,40810062418.5,40810062418.5,40810062418.5,343580724463.0,40810062418.5,40810062418.5,40810062418.5,75197065671.0,75504911656.0,73368414445.0,98321355883.0,75277643068.0,75568033310.0,112417315165.0,114740058385.0,86853850195.0,83185416677.0,411391668000.0
NHN,69054669048.0,65020514277.0,60082017174.0,63679369998.0,67208340955.0,56610391343.0,56402471671.0,60249337364.0,63686216849.0,62540566667.0,65669292553.0,69188336406.0,71807506793.0,76310350310.0,64345661640.0,77961417020.0,80800952153.0,78018639638.0,79395057323.0
컴투스,116557364947.0,125170449053.0,121689253798.0,128519395096.0,112760007105.0,124033604235.0,119410364027.0,123201320490.0,105714556480.0,120929636850.0,115007494156.0,120526477484.0,97394440590.0,147017391995.0,126552080894.0,132039132754.0,112025401138.0,147441969491.0,108586351747.0
데브시스터즈,4098716262.0,3180811084.0,2805404801.0,7379099332.0,6383785952.0,8239278150.0,10752553944.0,10995115875.0,8821789419.0,8423601851.0,8679151474.0,11858752299.0,18324005517.0,17110945694.0,17721480915.0,17595994537.0,105361179439.0,95770593740.0,67102457313.0
그라비티,23352000000.0,27028000000.0,23722000000.0,67521000000.0,66311000000.0,63026000000.0,44201000000.0,113232000000.0,133623000000.0,78127000000.0,77566000000.0,71651000000.0,73260000000.0,88458000000.0,131795000000.0,112440000000.0,105059000000.0,83611000000.0,128670000000.0
펄어비스,27600000000.0,33000000000.0,22642287908.0,20648916714.0,75517551993.0,112682196948.0,116986478239.0,99577764468.0,135976042985.0,152273164329.0,134401715191.0,122174190169.0,133187334614.0,131666917725.0,118298861823.0,105615729587.0,100894814458.0,88520394529.0,96399607134.0
웹젠,43118523231.0,43743725655.0,35838149048.0,43566982472.0,54683788221.0,48912846691.0,63929699195.0,218877008858.0,39838908958.0,43382113363.0,47356124707.0,43215858491.0,34359342198.0,60203593892.0,106962919118.0,90909782719.0,78022867245.0,71610242092.0,66416530409.0
네오위즈,22398995353.0,28145231276.0,27225881963.0,27079479524.0,46932009609.0,45088811413.0,49222536970.0,44371812390.0,61457123220.0,45698794279.0,48930661934.0,60277893170.0,51509535555.0,57595585380.0,59293734441.0,55899553614.0,60403891966.0,49939122824.0,50284667156.0
위메이드,22847040428.0,9550171596.0,5972940107.0,5603456760.0,5630660109.0,5056010042.0,4491272059.0,4413434772.0,4497887800.0,4409880587.0,4322832552.0,3998094460.0,4501598685.0,4686352493.0,4678441021.0,21777736593.0,51162667043.0,39985147297.0,37542014244.0
게임빌,20445566983.0,20732292893.0,15974586334.0,13476364410.0,13259939588.0,11756861695.0,11077549926.0,28372600543.0,18368259160.0,16420972914.0,22090912445.0,19520460049.0,20023117769.0,14260050974.0,14322016862.0,14501610525.0,17824284403.0,12823646475.0,11360777135.0
선데이토즈,20715434110.0,15461676780.0,14234942467.0,14683015262.0,18019771249.0,20070369659.0,19416119482.0,18375604477.0,17560579762.0,16365342998.0,15705530117.0,24010312873.0,25123856092.0,21585942773.0,22805091110.0,21167942326.0,18873356431.0,18686048771.0,18442403690.0
엠게임,6623387147.0,7751913905.0,6385204857.0,6783741221.0,6879185763.0,6735319763.0,6035669833.0,7651798796.0,9593954454.0,8328254245.0,7676572243.0,11943115585.0,10134902565.0,11729952828.0,8831888384.0,11519079679.0,12587969014.0,11744644998.0,13560593352.0
베스파,31115321243.0,7778830310.75,7778830310.75,7778830310.75,12076263613.0,28929656058.0,40584984354.0,42895656031.0,32477080987.0,23089487102.0,17346457703.0,27210352846.0,16163698631.0,17830075697.0,16640408709.0,15466871490.0,12918422312.0,12376668349.0,10051259825.0
Sum,2049055975686.0,1458523410248.25,2051440421546.25,1836915097708.25,2473958607240.0,1727452888964.5,1923482275765.5,1899633899517.5,2228776738776.0,1858588835276.0,1889314733526.0,1970767121269.0,2442202819813.0,2261376108372.0,2481030784842.0,2317880683378.0,2525152337029.0,2181218019887.0,2669047385294.0
