,3사 Mobile 매출,3사 PC매출,평균기온(°C),마케팅 비용,게임시장 규모
1Q2017,190760333333.3333,944747000000.0,2.7445614035087718,185844362250.0,2049055975686.0
2Q2017,561186333333.3334,745618000000.0,17.886666666666667,204504973250.0,1458523410248.25
3Q2017,900556000000.0,934963500000.0,23.99999999999999,237276913250.0,2051440421546.25
4Q2017,895813000000.0,783457000000.0,7.394385964912276,286241342250.0,1836915097708.25
1Q2018,726995000000.0,769203000000.0,2.030175438596491,241634796250.0,2473958607240.0
2Q2018,532404333333.3334,730854000000.0,17.555087719298232,236840957250.0,1727452888964.5
3Q2018,592109666666.6666,1092197500000.0,24.640350877192983,247320164250.0,1923482275765.5
4Q2018,562708666666.6666,749709000000.0,7.5389473684210575,276208628250.0,1899633899517.5
1Q2019,323924000000.0,954904000000.0,3.45122807017544,244800652750.0,2228776738776.0
2Q2019,340270666666.6667,831852000000.0,17.073776223776225,259787514750.0,1858588835276.0
3Q2019,312343333333.3333,1105410000000.0,24.01013986013985,234679277750.0,1889314733526.0
4Q2019,439120000000.0,920841000000.0,9.167368421052627,282093263750.0,1970767121269.0
1Q2020,1048860333333.3333,1593336000000.0,4.84912280701754,234771647250.0,2442202819813.0
2Q2020,887508333333.3333,1240709000000.0,16.95473684210527,283822365250.0,2261376108372.0
3Q2020,1356090333333.3335,1453089000000.0,23.112280701754383,323359659250.0,2481030784842.0
4Q2020,1161611000000.0,1306676000000.0,7.912280701754383,374936031250.0,2317880683378.0
1Q2021,974276000000.0,1815808000000.0,4.052631578947367,291422436437.5,2525152337029.0
2Q2021,896465666666.6667,1166518000000.0,17.236267605633802,387389136437.5,2181218019887.0
3Q2021,897483000000.0,1553097000000.0,24.183157894736866,431647205437.5,2669047385294.0
