지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일사량(MJ/m2),일 최심신적설(cm),평균 지면온도(°C),기사,안개 계속시간(hr)
90,속초,2016-01-01,3.6,-2.3,7.6,1302,,2.3,44.9,,,1.4,,
90,속초,2016-01-02,8.4,5,11.5,1508,,3.1,50.4,,,5.4,,
90,속초,2016-01-03,6.7,2.4,9.8,1032,,1.9,80,,,5,,
90,속초,2016-01-04,5.4,.8,9,1348,,2.7,32.6,,,4.2,,
90,속초,2016-01-05,.6,-2.6,4.4,1337,,2.5,16.8,,,1.3,,
90,속초,2016-01-06,.5,-4.7,6.3,1436,,2,36.4,,,.2,,
90,속초,2016-01-07,-.4,-4,3.7,1420,,1.9,28.3,,,-.2,,
90,속초,2016-01-08,-1.1,-3.4,2.3,1434,,2.4,25.1,,,-.9,,
90,속초,2016-01-09,.1,-3.9,3.6,1244,,2.8,32,,,-.4,,
90,속초,2016-01-10,1.8,-1.3,5.8,1447,,2.4,30.1,,,1.5,,
90,속초,2016-01-11,-2,-5.4,1.3,1328,,2.1,30.9,,,-1.1,,
90,속초,2016-01-12,-1.8,-7.1,2.3,1410,,2.1,26.6,,,-1.2,,
90,속초,2016-01-13,-2.3,-5.9,1.3,1443,,2.7,35.5,,,-1.2,,
90,속초,2016-01-14,-2.9,-7.6,.9,1526,,2.7,33.6,,,-1.6,,
90,속초,2016-01-15,-1.7,-4,2.2,1250,,1.7,49.4,,,-1,,
90,속초,2016-01-16,-.1,-5,5.1,1248,0,1.4,64.5,,,-.5,,
90,속초,2016-01-17,1.5,-1.6,4.3,1232,,1.7,89.9,,,1.6,,
90,속초,2016-01-18,-2.9,-11.4,3.5,1012,,3.2,48.6,,,.5,,
90,속초,2016-01-19,-10,-13.1,-7,1403,,3.5,25.4,,,-5.2,,
90,속초,2016-01-20,-6.3,-11,-.5,1425,,2.4,40.1,,,-3.3,,
90,속초,2016-01-21,-4,-8.6,.3,1253,,2.2,36.5,,,-1.6,,
90,속초,2016-01-22,-3.4,-6.6,.1,1219,,2.2,24.8,,,-2,,
90,속초,2016-01-23,-8.3,-13.4,-4.4,7,,3.9,16.6,,,-4.1,,
90,속초,2016-01-24,-10.5,-16.4,-4.1,1341,,2.2,23.3,,,-6.1,,
90,속초,2016-01-25,-6.9,-12.4,-2.1,1510,,1.5,35.1,,,-3.8,,
90,속초,2016-01-26,-1,-7.8,3.2,1158,,3.4,39.4,,,-1,,
90,속초,2016-01-27,1.7,-1.3,5.3,1439,,3.7,31.6,,,1.7,,
90,속초,2016-01-28,-.1,-3.7,5.6,1245,,1.7,42.8,,,0,,
90,속초,2016-01-29,-.3,-2.1,1.3,1930,2.9,2.1,81.9,,,-.4,,
90,속초,2016-01-30,-.9,-1.8,-.2,20,3.7,1.4,99,,,.2,,
90,속초,2016-01-31,-1.9,-4.3,1.3,1149,,2,76.3,,,-.2,,
90,속초,2016-02-01,-3.5,-7.2,.3,1406,,1.6,39.5,,,-1,,
90,속초,2016-02-02,-4.1,-9.4,.2,1237,,1.4,44.4,,,-1.5,,
90,속초,2016-02-03,-1.6,-7.9,2.9,1549,,1.4,37.1,,,-.9,,
90,속초,2016-02-04,2.2,-1.4,7.1,1324,,2.5,31.3,,,.8,,
