지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C)
90,속초,2017,13.1,-11.2,20170123,34.9,20170721,8.9,17.4
90,속초,2018,12.6,-16.2,20180125,38.7,20180805,8.5,16.9
90,속초,2019,13.8,-9,20190116,36.1,20190723,9.6,18
90,속초,2020,13.3,-11.3,20201231,35.1,20200819,9.3,17.5
93,북춘천,2017,11.3,-19,20171213,37.5,20170805,5.3,18.1
93,북춘천,2018,11.2,-21.7,20180127,40.6,20180801,5.3,17.9
93,북춘천,2019,11.7,-15.1,20190103,36.5,20190805,5.8,18.3
93,북춘천,2020,11.4,-18.5,20201216,35.8,20200622,5.9,17.8
95,철원,2017,10.5,-18.8,20171213,33.8,20170803,4.5,16.8
95,철원,2018,10.4,-25.2,20180126,38.4,20180801,4.6,16.7
95,철원,2019,11.1,-17.1,20190109,35.1,20190806,5,17.5
95,철원,2020,11,-18.8,20201216,34.9,20200826,5.4,16.9
98,동두천,2017,11.8,-16.6,20171213,35.9,20170805,6.4,18.6
98,동두천,2018,11.7,-20.4,20180127,38.7,20180801,6.4,18.4
98,동두천,2019,12,-13.4,20191206,35.8,20190706,6.6,18.4
98,동두천,2020,11.8,-15.9,20201216,35.5,20200622,6.8,18
99,파주,2017,10.5,-18.8,20171213,34.9,20170803,4.7,17.2
99,파주,2018,10.5,-23.5,20180127,37.6,20180801,4.9,17.1
99,파주,2019,11.3,-16.1,20190102,34.7,20190811,5.5,17.7
99,파주,2020,11.2,-17.4,20201216,34.4,20200622,5.8,17.3
100,대관령,2017,7.3,-21.1,20170125,31.1,20170719,2,12.5
100,대관령,2018,7.2,-24.4,20180127,32.9,20180722,2,12.5
100,대관령,2019,8.1,-20.1,20190109,30.2,20190804,2.7,13.6
100,대관령,2020,7.8,-24,20200206,31.6,20200609,2.7,13.1
101,춘천,2017,11.7,-17.6,20171212,36.3,20170805,6.4,17.6
101,춘천,2018,11.6,-21.6,20180126,39.5,20180801,6.4,17.6
101,춘천,2019,12.3,-14.1,20190109,36.3,20190805,7.1,18.3
101,춘천,2020,12.2,-17.2,20201216,36.4,20200622,7.1,18
102,백령도,2017,11.8,-7.4,20171211,31.8,20170721,9.3,15
102,백령도,2018,11,-13.7,20180126,32.8,20180816,8.3,14.1
102,백령도,2019,12,-9.3,20190208,31.2,20190810,9.3,15.3
102,백령도,2020,12.1,-10,20201230,30.5,20200826,9.7,15
104,북강릉,2017,13.1,-10.7,20170123,33.9,20170713,8.8,17.3
