,accdefrate,accexamcnt,accexamcompcnt,carecnt,clearcnt,createdt,deathcnt,decidecnt,examcnt,resutlnegcnt,seq,statedt,statetime,updatedt
0,2.6803732028,16525389,14907924,31952,364499,2021-11-16 08:39:32.225,3137,399588,1617465,14508336,699,2021-11-16 00:00:00.000,00:00,
1,2.6790751547,16470972,14835866,31515,362834,2021-11-15 09:35:56.024,3115,397464,1635106,14438402,698,2021-11-15 00:00:00.000,00:00,
2,2.6673072464,16440429,14826151,31465,360891,2021-11-14 09:44:03.248,3103,395459,1614278,14430692,697,2021-11-14 00:00:00.000,00:00,
3,2.6527599155,16408600,13689934,304050,359553,2021-11-13 09:40:09.109,3083,393041,1592295,14423264,696,2021-11-13 00:00:00.000,00:00,
4,2.6423987743,16361030,14786451,31051,356615,2021-11-12 09:27:05.279,3051,390717,1574579,14395734,695,2021-11-12 00:00:00.000,00:00,
5,2.6310718906,16312773,14760106,30302,355014,2021-11-11 09:27:17.639,3033,388349,1552667,14371757,694,2021-11-11 00:00:00.000,00:00,
6,2.6177317437,16261877,14739058,29877,352940,2021-11-10 09:28:27.999,3012,385829,1522819,14353229,693,2021-11-10 00:00:00.000,00:00,
7,2.6095236409,16212870,14692490,29749,350657,2021-11-09 09:24:09.116,2998,383404,1520380,14309086,692,2021-11-09 00:00:00.000,00:00,
8,2.6067095314,16160828,14642483,30911,347796,2021-11-08 09:28:41.663,2980,381687,1518345,14260796,691,2021-11-08 00:00:00.000,00:00,
9,2.5963907494,16130872,14633121,30166,346800,2021-11-07 09:29:07.692,2967,379933,1497751,14253188,690,2021-11-07 00:00:00.000,00:00,
10,2.5822658496,16099185,14626999,29188,345564,2021-11-06 09:37:28.182,2956,377708,1472186,14249291,689,2021-11-06 00:00:00.000,00:00,
11,2.5757787802,16051667,14576640,29290,343236,2021-11-05 09:27:51.190,2936,375462,1475027,14201178,688,2021-11-05 00:00:00.000,00:00,
12,2.5668151436,16001231,14536263,28316,341887,2021-11-04 09:27:32.684,2916,373119,1464968,14163144,687,2021-11-04 00:00:00.000,00:00,
13,2.5556917627,15953526,14502414,27275,340470,2021-11-03 09:28:24.308,2892,370637,1451112,14131777,686,2021-11-03 00:00:00.000,00:00,
14,2.5445079716,15905185,14461342,26149,338947,2021-11-02 09:30:05.194,2874,367970,1443843,14093372,685,2021-11-02 00:00:00.000,00:00,
15,2.5398746637,15849300,14425200,26171,337353,2021-11-01 06:42:25.145,2858,366382,1424100,14058818,684,2021-11-01 00:00:00.000,00:00,
16,2.5296141387,15804062,14417100,25300,336548,2021-10-31 09:17:32.729,2849,364697,1386962,14052403,683,2021-10-31 00:00:00.000,00:00,
17,2.5166866619,15775697,14409263,25225,334581,2021-10-30 09:42:07.803,2830,362636,1366434,14046627,682,2021-10-30 00:00:00.000,00:00,
18,2.5085565147,15730782,14372090,24720,332995,2021-10-29 09:31:17.460,2817,360532,1358692,14011558,681,2021-10-29 00:00:00.000,00:00,
19,2.5082902607,15678186,14289056,24750,330853,2021-10-28 09:33:44.198,2808,358411,1389130,13930645,680,2021-10-28 00:00:00.000,00:00,
