기업명,1Q2017,2Q2017,3Q2017,4Q2017,1Q2018,2Q2018,3Q2018,4Q2018,1Q2019,2Q2019,3Q2019,4Q2019,1Q2020,2Q2020,3Q2020,4Q2020,1Q2021,2Q2021,3Q2021
넥슨,"747,920,000,000","470,640,000,000","603,980,000,000","526,750,000,000","905,140,000,000","477,940,000,000","693,320,000,000","460,810,000,000","930,770,000,000","538,650,000,000","523,570,000,000","492,430,000,000","827,620,000,000","644,660,000,000","794,120,000,000","663,840,000,000","883,130,000,000","560,090,000,000","758,900,000,000"
엔씨소프트,"193,604,437,699","210,042,633,842","676,510,404,885","466,478,548,013","428,353,232,636","387,195,995,505","350,424,313,387","363,939,901,551","320,780,646,708","361,589,304,567","346,767,144,643","496,730,551,069","694,135,537,552","493,338,134,342","536,230,859,456","518,726,405,210","472,809,838,972","494,934,150,122","452,345,153,241"
넷마블,"536,364,269,561","350,467,097,158","385,788,455,475","396,156,836,177","311,222,345,984","290,365,485,044","296,417,200,260","261,860,481,484","270,413,626,323","302,855,803,868","380,856,429,363","297,710,370,485","289,380,300,184","399,354,780,959","346,015,025,304","343,679,368,939","326,423,842,260","332,480,334,884","358,598,844,725"
카카오게임즈,"163,240,249,674",,,,"343,580,724,463",,,,"75,197,065,671","75,504,911,656","73,368,414,445","98,321,355,883","75,277,643,068","75,568,033,310","112,417,315,165","114,740,058,385","86,853,850,195","83,185,416,677","411,391,668,000"
NHN,"69,054,669,048","65,020,514,277","60,082,017,174","63,679,369,998","67,208,340,955","56,610,391,343","56,402,471,671","60,249,337,364","63,686,216,849","62,540,566,667","65,669,292,553","69,188,336,406","71,807,506,793","76,310,350,310","64,345,661,640","77,961,417,020","80,800,952,153","78,018,639,638","79,395,057,323"
컴투스,"116,557,364,947","125,170,449,053","121,689,253,798","128,519,395,096","112,760,007,105","124,033,604,235","119,410,364,027","123,201,320,490","105,714,556,480","120,929,636,850","115,007,494,156","120,526,477,484","97,394,440,590","147,017,391,995","126,552,080,894","132,039,132,754","112,025,401,138","147,441,969,491","108,586,351,747"
데브시스터즈,"4,098,716,262","3,180,811,084","2,805,404,801","7,379,099,332","6,383,785,952","8,239,278,150","10,752,553,944","10,995,115,875","8,821,789,419","8,423,601,851","8,679,151,474","11,858,752,299","18,324,005,517","17,110,945,694","17,721,480,915","17,595,994,537","105,361,179,439","95,770,593,740","67,102,457,313"
그라비티,"23,352,000,000","27,028,000,000","23,722,000,000","67,521,000,000","66,311,000,000","63,026,000,000","44,201,000,000","113,232,000,000","133,623,000,000","78,127,000,000","77,566,000,000","71,651,000,000","73,260,000,000","88,458,000,000","131,795,000,000","112,440,000,000","105,059,000,000","83,611,000,000","128,670,000,000"
펄어비스,"27,600,000,000","33,000,000,000","22,642,287,908","20,648,916,714","75,517,551,993","112,682,196,948","116,986,478,239","99,577,764,468","135,976,042,985","152,273,164,329","134,401,715,191","122,174,190,169","133,187,334,614","131,666,917,725","118,298,861,823","105,615,729,587","100,894,814,458","88,520,394,529","96,399,607,134"
웹젠,"43,118,523,231","43,743,725,655","35,838,149,048",43566982472,"54,683,788,221","48,912,846,691","63,929,699,195","218,877,008,858","39,838,908,958","43,382,113,363","47,356,124,707","43,215,858,491","34,359,342,198","60,203,593,892","106,962,919,118","90,909,782,719","78,022,867,245","71,610,242,092","66,416,530,409"
네오위즈,"22,398,995,353","28,145,231,276","27,225,881,963",27079479524,"46,932,009,609","45,088,811,413","49,222,536,970","44,371,812,390","61,457,123,220","45,698,794,279","48,930,661,934","60,277,893,170","51,509,535,555","57,595,585,380","59,293,734,441","55,899,553,614","60,403,891,966","49,939,122,824","50,284,667,156"
위메이드,"22,847,040,428","9,550,171,596","5,972,940,107","5,603,456,760","5,630,660,109","5,056,010,042","4,491,272,059","4,413,434,772","4,497,887,800","4,409,880,587","4,322,832,552","3,998,094,460","4,501,598,685","4,686,352,493","4,678,441,021","21,777,736,593","51,162,667,043","39,985,147,297","37,542,014,244"
게임빌,"20,445,566,983","20,732,292,893","15,974,586,334","13,476,364,410","13,259,939,588","11,756,861,695","11,077,549,926","28,372,600,543","18,368,259,160","16,420,972,914","22,090,912,445","19,520,460,049","20,023,117,769","14,260,050,974","14,322,016,862","14,501,610,525","17,824,284,403","12,823,646,475","11,360,777,135"
선데이토즈,"20,715,434,110","15,461,676,780","14,234,942,467","14,683,015,262","18,019,771,249","20,070,369,659","19,416,119,482","18,375,604,477","17,560,579,762","16,365,342,998","15,705,530,117","24,010,312,873","25,123,856,092","21,585,942,773","22,805,091,110","21,167,942,326","18,873,356,431","18,686,048,771","18,442,403,690"
엠게임,"6,623,387,147","7,751,913,905","6,385,204,857","6,783,741,221","6,879,185,763","6,735,319,763","6,035,669,833","7,651,798,796","9,593,954,454","8,328,254,245","7,676,572,243","11,943,115,585","10,134,902,565","11,729,952,828","8,831,888,384","11,519,079,679","12,587,969,014","11,744,644,998","13,560,593,352"
베스파,"31,115,321,243",,,,12076263613,"28,929,656,058","40,584,984,354","42,895,656,031","32,477,080,987","23,089,487,102","17,346,457,703","27,210,352,846","16,163,698,631","17,830,075,697","16,640,408,709","15,466,871,490","12,918,422,312","12,376,668,349","10,051,259,825"
